Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0045,SCH276,Nepali,Basic,2.610514590013108,20.582359622226143
TCH0046,SCH402,Science,Basic,10.420773097962499,25.064722229702678
TCH0047,SCH403,Social Studies,Basic,6.47366994734974,29.392556765807864
TCH0048,SCH357,Social Studies,Basic,7.312674244197015,11.537253396678471
TCH0049,SCH231,Social Studies,Advanced,8.543961605224652,32.636546635203665
TCH0050,SCH004,English,Advanced,3.49214476270898,34.656174556925635
TCH0051,SCH233,English,Advanced,7.426824404429359,32.77586066068422
TCH0052,SCH087,Social Studies,Advanced,10.996980037167715,26.247554443951636
TCH0053,SCH103,Social Studies,Basic,1.1485664856246292,22.791096530698297
TCH0054,SCH461,Nepali,Advanced,6.195786902963247,9.306934673178391
TCH0055,SCH430,Science,Advanced,14.171062464046495,6.86087515004255
TCH0056,SCH389,Social Studies,Advanced,5.288693490311681,29.663325187799366
TCH0057,SCH332,Social Studies,Basic,9.490289549577376,26.01645933705217
TCH0058,SCH407,Math,Basic,5.696747270113184,17.333277647022648
TCH0059,SCH098,English,Advanced,9.129182755168216,23.957216043646277
TCH0060,SCH312,Math,Advanced,11.331023747168482,7.437605859144595
TCH0061,SCH132,English,Basic,12.724837764380155,11.0019150541896
TCH0062,SCH381,Nepali,Basic,19.435795788802487,9.281445059142206
TCH0063,SCH168,Social Studies,Advanced,11.020725890391924,10.298749300553748
TCH0064,SCH082,Nepali,Advanced,8.13266325117332,25.06177338903306
TCH0065,SCH500,Science,Basic,3.7806275539947882,29.15686953812769
TCH0066,SCH215,English,Advanced,10.536810969189277,24.34170471180338
TCH0067,SCH356,Science,Basic,6.039759368828778,17.58803500862469
TCH0068,SCH246,Math,Basic,1.4528176178300614,15.0
TCH0069,SCH433,English,Basic,3.574171876794129,29.08522622148149
TCH0070,SCH095,Science,Basic,4.742890681011307,27.425996488602976
TCH0071,SCH291,English,Basic,15.628787255863655,7.538612962046222
TCH0072,SCH394,Math,Basic,1.8167838768759221,28.606280387833387
TCH0073,SCH052,Social Studies,Basic,5.170605717505853,24.101449840768133
TCH0074,SCH145,Social Studies,Advanced,14.063428576883823,10.255191267712396
TCH0075,SCH357,Nepali,Basic,16.479447899862453,12.367859177511978
TCH0076,SCH114,Math,Advanced,8.348725228935567,20.024522887108873
TCH0077,SCH116,Science,Basic,5.162381148652598,34.63408896330193
TCH0078,SCH134,English,Advanced,2.7740309382317525,24.79260099688454
TCH0079,SCH234,English,Advanced,7.401912857211616,23.35915424056557
TCH0080,SCH180,Science,Advanced,5.265565775944262,9.347081448180019
TCH0081,SCH270,English,Basic,12.489114494665252,9.25220003775683
TCH0082,SCH477,English,Basic,9.979051135295991,6.66215795135304
TCH0083,SCH469,English,Advanced,4.705353831304274,10.841178119670243
TCH0084,SCH253,Nepali,Basic,4.726896219022717,20.15293477481649
TCH0085,SCH478,Math,Basic,12.080049131234329,28.87489605107306
TCH0086,SCH040,Nepali,Basic,7.020988331382771,23.09689220313318
TCH0087,SCH182,English,Basic,17.75895359739884,5.6985020494513705
TCH0088,SCH396,Math,Advanced,4.289264923617339,31.97020015854421
TCH0089,SCH125,Social Studies,Advanced,9.593077863144579,7.592628007048182
TCH0090,SCH065,English,Basic,8.311750249850437,6.257964214266854
TCH0091,SCH297,Nepali,Basic,1.0,21.398088098564603
TCH0092,SCH108,Nepali,Basic,3.6071519293568293,18.981518384900166
TCH0093,SCH259,English,Basic,1.0,30.783858758629663
TCH0094,SCH446,Nepali,Basic,11.25652080882314,25.285238488442396
TCH0095,SCH053,Social Studies,Basic,7.025480784283629,21.220308613656723
TCH0096,SCH499,Science,Basic,6.847721323735773,25.11904628565716
TCH0097,SCH361,English,Advanced,5.096695375886039,23.98374854345293
TCH0098,SCH463,Social Studies,Basic,3.5495935401687126,19.074499163564145
TCH0099,SCH453,English,Basic,8.780485548353376,25.47691252342236
TCH0100,SCH276,Nepali,Advanced,10.105772792874266,18.78842072218277
TCH0101,SCH474,English,Advanced,7.904332797626252,15.0
TCH0102,SCH027,English,Advanced,17.144550481761662,8.660944532884605
TCH0103,SCH009,Nepali,Basic,6.223712045782984,27.745872207897627
TCH0104,SCH061,Math,Basic,9.2557404925189,33.585946754560375
TCH0105,SCH476,Science,Basic,9.150847607366398,25.616612007833005
TCH0106,SCH363,Math,Basic,8.453025167957621,25.287654634268126
TCH0107,SCH161,English,Basic,5.679864663590767,31.83995952060377
TCH0108,SCH400,English,Advanced,6.9792997333025735,30.17254948271087
TCH0109,SCH498,Science,Advanced,10.426467041663155,11.440201331974391
TCH0110,SCH258,Math,Basic,11.794619123269278,19.71277292990036
TCH0111,SCH026,Science,Basic,2.6652934009441243,26.70179142094032
TCH0112,SCH214,Science,Advanced,11.787100297676648,11.937308968577414
TCH0113,SCH244,Nepali,Advanced,14.88767804395527,28.461463194395613
TCH0114,SCH450,Science,Advanced,8.224859561815611,10.532450513931705
TCH0115,SCH263,Nepali,Advanced,15.934320344452887,6.66722965188775
TCH0116,SCH417,Nepali,Advanced,6.663678957421007,11.627988817278506
TCH0117,SCH208,Nepali,Basic,3.9547420106710445,16.899334601959193
TCH0118,SCH172,Social Studies,Basic,11.341843499295214,8.409893104721442
TCH0119,SCH124,Science,Advanced,4.787852883355425,11.089160548150389
TCH0120,SCH022,Social Studies,Advanced,4.107462392854716,12.069653389238114
TCH0121,SCH317,English,Basic,6.704004100811844,31.927440761225782
TCH0122,SCH461,Nepali,Basic,3.680139314310123,6.952594047191198
TCH0123,SCH158,English,Advanced,4.574995125551137,20.89517425851151
TCH0124,SCH182,Math,Basic,12.598728597927535,13.3404329215777
TCH0125,SCH465,Nepali,Advanced,1.0,28.13305462660276
TCH0126,SCH426,Social Studies,Basic,6.789984610735513,25.6768395598172
TCH0127,SCH033,English,Basic,17.271804056227293,8.307268557437322
TCH0128,SCH191,Social Studies,Advanced,3.7336716958847953,8.454360413384515
TCH0129,SCH470,Math,Basic,7.179002738943847,18.705151457116564
TCH0130,SCH442,Math,Advanced,4.068812352883439,20.280692678218966
TCH0131,SCH440,Social Studies,Advanced,5.22863330241828,11.6757005546767
TCH0132,SCH370,Science,Advanced,21.86153111326103,12.928403598835
TCH0133,SCH461,Nepali,Advanced,7.394663511872303,9.722425746262182
TCH0134,SCH044,Nepali,Advanced,5.777213699059894,27.549577687249712
TCH0135,SCH103,Social Studies,Advanced,3.4704737574552276,25.71518874562644
TCH0136,SCH458,Science,Basic,12.89897795258144,29.117044279122606
TCH0137,SCH273,Nepali,Basic,13.107156867917247,22.0148280979583
TCH0138,SCH439,Math,Basic,12.140965194650196,19.491932740050327
TCH0139,SCH152,Science,Basic,23.865842539469508,9.411028643349145
TCH0140,SCH242,Math,Advanced,8.615794850354538,25.1577744816297
TCH0141,SCH355,English,Advanced,5.122010801352029,9.812851196126157
TCH0142,SCH170,English,Advanced,2.8458147922558483,23.268177058127144
TCH0143,SCH386,Math,Advanced,6.722913823335963,17.1307484628368
TCH0144,SCH094,Science,Basic,5.028192002580968,26.005195081080068
TCH0145,SCH442,Science,Basic,5.547795126211835,28.68339589720505
TCH0146,SCH317,Nepali,Basic,3.1706159933478957,23.527524110966866
TCH0147,SCH051,Science,Basic,11.681275580392587,19.973791700518795
TCH0148,SCH102,Science,Advanced,8.109763527074781,23.803394694119635
TCH0149,SCH012,Science,Basic,6.294198548041122,22.281997363464424
TCH0150,SCH473,Science,Basic,7.628429643114713,8.850536663873285
TCH0151,SCH459,Science,Basic,12.817943822176325,9.89836996886258
TCH0152,SCH422,English,Advanced,4.653673522320337,35.19373765956307
TCH0153,SCH299,Social Studies,Advanced,9.064886768463555,34.38971488796531
TCH0154,SCH237,English,Advanced,4.470581798630166,9.841310287555292
TCH0155,SCH431,Social Studies,Advanced,10.977423712598998,9.652286458877766
TCH0156,SCH293,English,Basic,5.9129168766238624,29.82858617595462
TCH0157,SCH017,Nepali,Basic,6.576141491964728,25.391903936743496
TCH0158,SCH099,English,Advanced,13.086783920537894,10.452289966573227
TCH0159,SCH261,Social Studies,Basic,10.151314094905896,33.81690881460338
TCH0160,SCH284,Science,Advanced,17.843870946101998,12.904838897780502
TCH0161,SCH425,English,Advanced,13.363831625832779,10.849387270943993
TCH0162,SCH034,Social Studies,Basic,6.612162290223876,29.017363998021004
TCH0163,SCH444,Nepali,Basic,8.974639685629938,19.098123118896886
TCH0164,SCH360,Nepali,Basic,10.534289193051997,24.213069126879816
TCH0165,SCH468,Science,Basic,11.267895861287684,24.780075366281313
TCH0166,SCH063,Social Studies,Advanced,9.67257879332146,15.0
TCH0167,SCH169,Math,Advanced,11.172541760742924,12.79578775135094
TCH0168,SCH137,Math,Advanced,8.557195207601811,20.750697381337485
TCH0169,SCH015,Math,Advanced,14.717823545252484,9.2295666828141
TCH0170,SCH066,Science,Basic,3.9969967421300248,25.350058333840003
TCH0171,SCH207,Math,Advanced,10.9995505506326,8.936893015706026
TCH0172,SCH399,Math,Basic,4.909391255001114,34.00958377782652
TCH0173,SCH020,English,Basic,9.578487504319513,10.411315511856156
TCH0174,SCH402,English,Basic,8.564797887977003,22.702331939522736
TCH0175,SCH377,Social Studies,Advanced,5.573618921965529,25.275075164019064
TCH0176,SCH156,English,Advanced,9.688898910566879,6.602964189827968
TCH0177,SCH479,Nepali,Advanced,4.921232234858957,36.738270202353
TCH0178,SCH291,English,Advanced,15.96176805087223,10.465177091085188
TCH0179,SCH113,Social Studies,Basic,7.352347780718726,16.022179777482
TCH0180,SCH452,Nepali,Advanced,7.90923125875701,29.22948307665639
TCH0181,SCH017,Science,Basic,13.683655555715973,17.528345161102067
TCH0182,SCH307,Social Studies,Advanced,7.390461805938708,24.43439799127679
TCH0183,SCH049,Nepali,Basic,10.924597151550127,17.77311023209527
TCH0184,SCH131,Math,Basic,7.246837613071986,33.754029532975345
TCH0185,SCH097,Social Studies,Basic,5.760319983994895,22.151786068132637
TCH0186,SCH126,Social Studies,Basic,13.686059001846669,32.277636451416996
TCH0187,SCH282,Science,Basic,10.991060995700531,29.789098951889063
TCH0188,SCH003,Math,Advanced,11.63131531449686,18.119757472897152
TCH0189,SCH019,English,Advanced,3.5647944743652187,22.04720942935092
TCH0190,SCH296,English,Basic,11.927529676542285,28.268371328807678
TCH0191,SCH219,Science,Basic,6.753431588484948,21.93161304313219
TCH0192,SCH440,Nepali,Basic,11.329356020807266,8.643274459703106
TCH0193,SCH296,Science,Basic,8.763863343074961,27.41478735933328
TCH0194,SCH484,English,Advanced,2.1866655788532823,18.741411848018508
TCH0195,SCH498,Social Studies,Advanced,1.0,7.504883568699793
TCH0196,SCH219,Nepali,Basic,7.6502485916928755,15.0
TCH0197,SCH362,Science,Basic,7.580196738359052,28.275000135703827
TCH0198,SCH320,Nepali,Advanced,14.501793196662923,6.031645037291314
TCH0199,SCH172,Nepali,Advanced,18.539829572023102,8.72568885070033
TCH0200,SCH297,English,Advanced,10.230933804749323,22.015764002387087
TCH0201,SCH413,Science,Basic,10.184148121639826,25.025653544887394
TCH0202,SCH171,Science,Basic,5.154331775142438,24.933263444858284
TCH0203,SCH009,Nepali,Basic,13.817608936427646,26.346365732254128
TCH0204,SCH054,Math,Advanced,7.331230297620381,34.89533683183612
TCH0205,SCH265,Nepali,Basic,7.978869872422051,28.735528785883844
TCH0206,SCH301,Science,Advanced,12.570323641389532,5.994030287194162
TCH0207,SCH411,Math,Basic,8.23178837470793,30.963649453113607
TCH0208,SCH111,Nepali,Basic,12.966449759737285,11.004423842980652
TCH0209,SCH204,Science,Basic,1.41214118590994,27.240532885772488
TCH0210,SCH145,Social Studies,Advanced,13.454008862007942,7.58475783420783
TCH0211,SCH201,Social Studies,Basic,12.834787619001137,20.859494292091405
TCH0212,SCH126,Nepali,Basic,6.311691419525189,29.706769894125717
TCH0213,SCH419,Math,Basic,6.131896424882114,18.017121157444482
TCH0214,SCH179,Science,Basic,4.868753475790739,29.515203484777086
TCH0215,SCH199,Math,Basic,6.371333335635429,15.0
TCH0216,SCH259,Nepali,Basic,3.737465371379471,23.875457086390803
TCH0217,SCH310,Nepali,Basic,16.39228763727072,9.521315223714737
TCH0218,SCH013,Nepali,Basic,6.9231776812680526,22.901067633026653
TCH0219,SCH427,English,Advanced,7.006968535145165,29.210110849224343
TCH0220,SCH460,Social Studies,Advanced,16.36953741709291,5.099602560296266
TCH0221,SCH125,Science,Basic,11.828530525822133,8.913417068301433
TCH0222,SCH135,Math,Advanced,4.6567313204795315,21.856430491491185
TCH0223,SCH120,English,Advanced,3.013159860400572,15.0
TCH0224,SCH005,Nepali,Advanced,15.361996718853815,6.807745118112316
TCH0225,SCH403,English,Advanced,9.12513101021622,26.730529975151615
TCH0226,SCH296,English,Advanced,1.0,25.26331015379822
TCH0227,SCH394,Science,Basic,12.053124470408106,21.708466045458174
TCH0228,SCH326,English,Advanced,1.6857969165550513,25.65002798572004
TCH0229,SCH056,Nepali,Basic,2.2170935793263675,28.704383115946094
TCH0230,SCH032,English,Basic,11.636650783907909,8.064218792976504
TCH0231,SCH302,Math,Advanced,6.979917002140933,27.44184137861811
TCH0232,SCH187,Nepali,Basic,7.009423998643697,20.69053817237932
TCH0233,SCH386,English,Advanced,4.555768940706713,26.547952283032828
TCH0234,SCH012,Math,Advanced,3.408224248709295,34.727186168841115
TCH0235,SCH197,Nepali,Basic,6.9829583765446,21.327195828304095
TCH0236,SCH471,Math,Basic,8.661103370544891,9.0070319157355
TCH0237,SCH129,English,Advanced,17.42797744507126,9.518173656688688
TCH0238,SCH096,Math,Basic,2.748948324113835,23.66867302226001
TCH0239,SCH302,Math,Basic,3.2832571296877453,26.622098438771275
TCH0240,SCH332,English,Basic,7.431643399654118,21.000221841122503
TCH0241,SCH042,Nepali,Basic,10.76343359524235,28.529421232159237
TCH0242,SCH182,Social Studies,Basic,14.185893289246842,11.823936256415445
TCH0243,SCH007,Science,Basic,8.171498012440045,7.703044866199825
TCH0244,SCH154,English,Advanced,3.6655388118040104,20.3322286678009
TCH0245,SCH177,English,Basic,11.731115290344807,20.049410906396208
TCH0246,SCH137,English,Basic,6.999373409797376,24.73051916053289
TCH0247,SCH344,Nepali,Basic,1.6121314467840469,15.0
TCH0248,SCH454,Math,Basic,8.740044463154923,21.593655417079905
TCH0249,SCH008,English,Basic,7.642463955249738,26.060877882266997
TCH0250,SCH112,Social Studies,Advanced,14.28117565809824,9.09043758332236
TCH0251,SCH221,English,Basic,15.50603573181463,35.733021729712284
TCH0252,SCH138,Nepali,Basic,4.417285019228822,34.00538114569929
TCH0253,SCH379,Science,Advanced,6.106200569763886,16.94512799653408
TCH0254,SCH219,Science,Advanced,6.238123980591701,21.02342599807813
TCH0255,SCH035,Math,Basic,9.837931921353242,27.93664974217638
TCH0256,SCH359,English,Basic,4.625288335209223,32.55746226588111
TCH0257,SCH394,Nepali,Basic,10.594632759241454,19.61478634679448
TCH0258,SCH467,Social Studies,Advanced,11.2950258943691,11.891016019083901
TCH0259,SCH087,English,Basic,8.100306783760558,15.0
TCH0260,SCH260,English,Advanced,4.221698415946889,12.208958266587313
TCH0261,SCH119,Science,Advanced,3.2809741074860743,25.09980943240482
TCH0262,SCH143,Math,Basic,8.421705061849142,26.134361468064952
TCH0263,SCH452,Science,Basic,1.7054758473218978,25.9196346477365
TCH0264,SCH408,Nepali,Basic,6.845386780616801,6.772550698275038
TCH0265,SCH417,Nepali,Advanced,1.0,9.892512216813687
TCH0266,SCH449,Nepali,Basic,8.527720422885658,21.358177929280533
TCH0267,SCH295,Science,Advanced,13.122063910500136,11.2495642791982
TCH0268,SCH122,Math,Basic,8.452943768496114,21.031419982356933
TCH0269,SCH389,English,Basic,2.4912438671853616,36.016295158279256
TCH0270,SCH399,Math,Advanced,5.691439812020857,28.51913173570027
TCH0271,SCH051,Nepali,Basic,1.6816763370492707,29.601472909768212
TCH0272,SCH078,Math,Advanced,5.764730456860993,12.585669974525558
TCH0273,SCH451,Science,Basic,1.3725730423687166,31.196751012473594
TCH0274,SCH024,Science,Basic,2.8769169393875655,21.075585074627586
TCH0275,SCH382,Math,Advanced,10.654057260810612,28.68166531409861
TCH0276,SCH123,Nepali,Basic,8.06046968294829,24.902173227179652
TCH0277,SCH259,Science,Basic,3.980393317329911,20.220805982445864
TCH0278,SCH249,English,Advanced,8.136651234279551,19.49517269187359
TCH0279,SCH106,Science,Advanced,7.68598928408161,10.094614727973928
TCH0280,SCH195,English,Basic,12.301056828167066,24.591443939830096
TCH0281,SCH089,English,Basic,9.117488069605953,28.49300457462043
TCH0282,SCH271,Math,Advanced,3.3084315072728057,27.131274999047825
TCH0283,SCH015,Nepali,Basic,10.96281478658396,10.418469122810954
TCH0284,SCH465,Social Studies,Basic,4.842040296144842,18.766466617322635
TCH0285,SCH007,Math,Advanced,12.859774471516946,9.876965363331118
TCH0286,SCH438,English,Advanced,1.3106332339743965,15.264193668185149
TCH0287,SCH410,English,Advanced,12.431651124701398,8.659881139447414
TCH0288,SCH476,Math,Basic,6.424494843340091,28.921294518508727
TCH0289,SCH010,English,Basic,10.244716180915479,27.904106643188534
TCH0290,SCH252,Science,Advanced,5.365847173575053,20.119108331881495
TCH0291,SCH007,English,Advanced,8.436750842017844,12.165175257425762
TCH0292,SCH188,Math,Basic,11.260403613685776,21.358422442785088
TCH0293,SCH138,Science,Advanced,5.279270110283836,27.32927990039809
TCH0294,SCH237,Math,Advanced,6.174934160687538,9.527869752632146
TCH0295,SCH049,Nepali,Basic,9.395452172633863,19.746096083406286
TCH0296,SCH485,Social Studies,Basic,6.084014478112314,24.54238837071073
TCH0297,SCH349,Nepali,Advanced,3.114631219759096,15.0
TCH0298,SCH269,Math,Advanced,2.8836754785726244,23.48054582712154
TCH0299,SCH456,Math,Basic,7.477939603848156,24.826646022790865
TCH0300,SCH406,English,Basic,6.1064738375216665,31.017557209564018
TCH0301,SCH061,Nepali,Basic,2.3378378673926727,33.47479475373324
TCH0302,SCH465,Science,Basic,8.788933550217656,21.10187745147075
TCH0303,SCH252,Math,Basic,4.651467607511196,21.39993449426248
TCH0304,SCH075,Social Studies,Basic,10.712204502332359,19.503127132761815
TCH0305,SCH338,Social Studies,Advanced,1.0,20.13885096220001
TCH0306,SCH443,Nepali,Advanced,3.274930493247913,25.85461432535728
TCH0307,SCH083,Science,Basic,4.568427589040779,15.724509636561589
TCH0308,SCH349,Nepali,Advanced,14.084003228350884,30.83949328640315
TCH0309,SCH452,English,Advanced,15.929234965420308,23.49957158902878
TCH0310,SCH432,Math,Basic,1.0,23.81772260198819
TCH0311,SCH413,English,Basic,19.07995477025745,24.60228074992546
TCH0312,SCH158,Social Studies,Advanced,7.242324882133373,25.001846478035056
TCH0313,SCH211,Math,Advanced,16.0315208165398,20.88978726421514
TCH0314,SCH335,Math,Basic,10.510701189900551,12.408129567496472
TCH0315,SCH313,Math,Basic,19.933623813027005,12.755455599422202
TCH0316,SCH126,English,Advanced,1.997554408220469,30.37123303941895
TCH0317,SCH162,Nepali,Basic,11.145302337991662,27.092055484433672
TCH0318,SCH146,Math,Advanced,13.375519785061684,7.736128197502709
TCH0319,SCH204,Social Studies,Basic,7.375166934826933,32.28388054697332
TCH0320,SCH024,Science,Advanced,2.075362075247509,23.572997413916728
TCH0321,SCH337,Nepali,Advanced,9.498100651414346,22.94998235426536
TCH0322,SCH307,Social Studies,Basic,8.136177401931842,25.22077429737626
TCH0323,SCH207,English,Basic,12.148082706793394,10.702167903158339
TCH0324,SCH404,Math,Advanced,8.416695128666111,25.811185176225237
TCH0325,SCH346,Science,Basic,1.0,27.878253582935272
TCH0326,SCH118,English,Advanced,14.80170498342458,11.863870642586871
TCH0327,SCH229,Nepali,Basic,6.632534487142503,34.368769540157224
TCH0328,SCH426,Science,Advanced,2.8694483316561223,20.986419173028768
TCH0329,SCH267,Nepali,Basic,6.173181590626163,26.156882953131262
TCH0330,SCH423,Nepali,Advanced,4.998721981278364,10.941875485057194
TCH0331,SCH286,Social Studies,Basic,5.872645300712113,13.109717820759583
TCH0332,SCH040,Science,Basic,10.525871367024742,24.21616967387184
TCH0333,SCH395,Nepali,Basic,9.376082641828841,23.122052548940243
TCH0334,SCH294,Nepali,Basic,9.524039923120412,25.594212833428784
TCH0335,SCH367,Math,Advanced,13.214586062881166,27.45582572965874
TCH0336,SCH239,Social Studies,Basic,12.203418229023125,28.056221999397106
TCH0337,SCH495,Science,Basic,5.6278672856332825,25.603336528349015
TCH0338,SCH079,English,Basic,1.0,21.95126481200566
TCH0339,SCH094,Nepali,Basic,8.732371421806363,22.533627432702197
TCH0340,SCH079,Social Studies,Basic,3.941885025452543,20.807858031113078
TCH0341,SCH427,English,Basic,9.401678403167661,28.29828488411317
TCH0342,SCH255,English,Basic,9.02669197046809,5.788430783512004
TCH0343,SCH444,English,Advanced,13.371109621379103,24.641136213988137
TCH0344,SCH224,Science,Basic,1.0,37.04055236121333
TCH0345,SCH398,Social Studies,Advanced,4.094070483046712,28.35928749441439
TCH0346,SCH265,Nepali,Basic,12.244362463614312,15.0
TCH0347,SCH144,Science,Advanced,9.772437517811703,23.49882002401213
TCH0348,SCH367,Nepali,Advanced,8.495656865895832,17.809822766661135
TCH0349,SCH163,Nepali,Advanced,10.932558278894827,24.23970160927176
TCH0350,SCH273,Social Studies,Basic,7.902727102599087,21.181785699574423
TCH0351,SCH248,English,Advanced,12.404083625019247,28.905366856780596
TCH0352,SCH251,Science,Basic,16.688239003662883,5.148890647389264
TCH0353,SCH478,Science,Advanced,11.00854199418892,30.626407271957277
TCH0354,SCH313,Nepali,Basic,21.5261948567269,8.062360353528955
TCH0355,SCH175,Science,Advanced,4.76798515558643,23.26979757151133
TCH0356,SCH272,English,Basic,7.1937451008107915,26.341963428876394
TCH0357,SCH243,Social Studies,Basic,1.0,24.884423974521074
TCH0358,SCH281,Science,Advanced,5.3769395432401454,28.164813721825574
TCH0359,SCH395,English,Advanced,9.151808491980514,19.964601924026137
TCH0360,SCH070,English,Advanced,7.142311871201906,24.214401153984358
TCH0361,SCH298,Nepali,Basic,9.35809234577705,9.517982785775377
TCH0362,SCH495,Science,Advanced,8.005981982419135,21.769936676756124
TCH0363,SCH078,Science,Advanced,7.7555848342414455,11.899011400158953
TCH0364,SCH294,English,Basic,12.48451022303028,31.45852055817255
TCH0365,SCH419,Science,Advanced,2.6131185236436174,26.923181012683003
TCH0366,SCH345,Social Studies,Basic,8.275962746048569,18.207893763896063
TCH0367,SCH159,English,Basic,13.834130070654808,11.242923680350872
TCH0368,SCH093,Social Studies,Advanced,12.703968966379541,17.457145948682466
TCH0369,SCH332,English,Advanced,2.3065962676111136,23.56172366427583
TCH0370,SCH272,English,Advanced,12.605929633233082,30.07253089773862
TCH0371,SCH196,Social Studies,Basic,4.222762956185929,33.12779120395885
TCH0372,SCH469,Social Studies,Advanced,16.176994347802133,9.63860181562027
TCH0373,SCH109,Science,Advanced,6.6755659591966605,11.521276912331764
TCH0374,SCH422,English,Basic,7.97922721920831,25.408695040764755
TCH0375,SCH420,Nepali,Advanced,10.59763856168011,26.870842654134133
TCH0376,SCH441,Science,Basic,10.25029498073723,5.0
TCH0377,SCH095,Social Studies,Basic,4.949756393543828,22.694936331353322
TCH0378,SCH378,Nepali,Advanced,12.49825145052901,9.76994607878058
TCH0379,SCH237,Nepali,Basic,15.089479978175099,10.475770448447935
TCH0380,SCH204,Science,Basic,10.897417727975508,22.835228461446736
TCH0381,SCH013,Nepali,Basic,7.767565685571544,24.159400983597724
TCH0382,SCH161,Nepali,Basic,11.327357180530955,23.706246247064396
TCH0383,SCH139,Nepali,Basic,13.204962867995956,26.545521092904767
TCH0384,SCH295,Science,Advanced,16.494903577398023,7.456197745816278
TCH0385,SCH086,English,Basic,3.7281336170671175,22.60905297313605
TCH0386,SCH290,Math,Advanced,1.0,22.938211577631932
TCH0387,SCH220,Social Studies,Basic,9.700001804683513,26.090118912285067
TCH0388,SCH449,Nepali,Basic,4.449247595890125,24.26155889390199
TCH0389,SCH320,Nepali,Advanced,8.618634301800506,8.15618233290638
TCH0390,SCH425,Math,Advanced,20.583219659643113,7.316423889556068
TCH0391,SCH362,Nepali,Basic,11.17657042939311,25.998187170630427
TCH0392,SCH234,English,Basic,7.509414572615856,29.95058729998936
TCH0393,SCH013,Science,Advanced,1.0091038319713963,19.5744396222951
TCH0394,SCH444,English,Advanced,2.4259329031758714,30.486053822206117
TCH0395,SCH475,English,Basic,12.607775145840339,15.0
TCH0396,SCH494,Nepali,Advanced,10.573097643976986,9.9504614836024
TCH0397,SCH082,Math,Advanced,1.1462345026934093,29.532530562978856
