School_ID,District,Location_Type,Infrastructure_Score,Electricity_Access,Internet_Access,Library_Status
SCH052,Nuwakot,Rural,3.0,Y,Y,N
SCH053,Lalitpur,Rural,2.0,N,N,Y
SCH054,Lalitpur,Rural,3.0,Y,N,Y
SCH055,Nuwakot,Rural,2.0,Y,N,nan
SCH056,Lalitpur,Rural,2.0,N,Y,nan
SCH057,Kathmandu,Urban,5.0,Y,Y,N
SCH058,Kathmandu,Urban,3.0,Y,Y,N
SCH059,Dhading,Urban,4.0,N,Y,Y
SCH060,Bhaktapur,Rural,2.0,Y,N,Y
SCH061,Dhading,Rural,2.0,N,N,N
SCH062,Kathmandu,Urban,4.0,Y,Y,Y
SCH063,Kathmandu,Rural,3.0,Y,N,N
SCH064,Kathmandu,Rural,3.0,Y,Y,Y
SCH065,Kathmandu,Urban,4.0,Y,Y,N
SCH066,Lalitpur,Rural,1.0,Y,Y,Y
SCH067,Kathmandu,Urban,4.0,Y,N,Y
SCH068,Lalitpur,Rural,3.0,N,N,Y
SCH069,Rasuwa,Urban,3.0,Y,Y,Y
SCH070,Kathmandu,Rural,2.0,Y,Y,Y
SCH071,Lalitpur,Rural,1.0,Y,N,Y
SCH072,Dhading,Urban,3.0,Y,Y,Y
SCH073,Kathmandu,Urban,3.0,Y,N,Y
SCH074,Bhaktapur,Rural,3.0,Y,N,N
SCH075,Nuwakot,Rural,2.0,N,N,N
SCH076,Rasuwa,Rural,1.0,Y,N,N
SCH077,Kathmandu,Rural,2.0,N,N,Y
SCH078,Rasuwa,Urban,4.0,Y,Y,Y
SCH079,Lalitpur,Rural,1.0,Y,Y,Y
SCH080,Kathmandu,Urban,4.0,Y,Y,Y
SCH081,Lalitpur,Rural,2.0,Y,N,Y
SCH082,Sindhupalchok,Rural,3.0,N,N,Y
SCH083,Lalitpur,Rural,2.0,Y,N,N
SCH084,Kathmandu,Urban,5.0,Y,Y,Y
SCH085,Bhaktapur,Rural,3.0,N,N,Y
SCH086,Kathmandu,Rural,2.0,N,Y,Y
SCH087,Kathmandu,Rural,2.0,N,Y,Y
SCH088,Kathmandu,Rural,2.0,Y,N,Y
SCH089,Kathmandu,Rural,2.0,N,Y,Y
SCH090,Kathmandu,Rural,2.0,Y,N,N
SCH091,Kathmandu,Urban,3.0,Y,Y,Y
SCH092,Bhaktapur,Rural,3.0,Y,N,N
SCH093,Kathmandu,Rural,1.0,Y,N,Y
SCH094,Kathmandu,Rural,1.0,Y,Y,N
SCH095,Nuwakot,Rural,3.0,Y,N,Y
SCH096,Lalitpur,Rural,2.0,N,N,N
SCH097,Bhaktapur,Rural,2.0,Y,N,N
SCH098,Kathmandu,Rural,3.0,Y,Y,Y
SCH099,Kathmandu,Urban,3.0,Y,Y,N
SCH100,Kathmandu,Urban,4.0,Y,N,Y
SCH101,Kathmandu,Urban,5.0,Y,Y,nan
SCH102,Kathmandu,Rural,2.0,Y,N,N
SCH103,Kathmandu,Rural,4.0,N,N,Y
SCH104,Kathmandu,Rural,2.0,N,N,N
SCH105,Kathmandu,Rural,3.0,Y,N,Y
SCH106,Lalitpur,Urban,5.0,Y,N,Y
SCH107,Kathmandu,Rural,3.0,N,N,N
SCH108,Kathmandu,Rural,3.0,N,N,Y
SCH109,Lalitpur,Urban,4.0,Y,N,N
SCH110,Bhaktapur,Urban,4.0,Y,N,N
SCH111,Kathmandu,Urban,4.0,Y,N,Y
SCH112,Dhading,Urban,4.0,Y,N,Y
SCH113,Bhaktapur,Rural,4.0,Y,N,Y
SCH114,Kathmandu,Rural,2.0,Y,N,N
SCH115,Nuwakot,Rural,2.0,Y,N,Y
SCH116,Rasuwa,Rural,2.0,N,N,N
SCH117,Kathmandu,Rural,1.0,Y,N,Y
SCH118,Kathmandu,Urban,4.0,Y,Y,Y
SCH119,Nuwakot,Rural,3.0,Y,N,N
SCH120,Dhading,Rural,2.0,Y,N,Y
SCH121,Kathmandu,Rural,1.0,N,N,nan
SCH122,Kathmandu,Rural,3.0,Y,N,Y
SCH123,Kathmandu,Rural,3.0,Y,N,N
SCH124,Lalitpur,Urban,5.0,Y,Y,Y
SCH125,Bhaktapur,Urban,4.0,Y,Y,Y
SCH126,Kathmandu,Rural,2.0,Y,Y,N
SCH127,Lalitpur,Rural,1.0,N,Y,N
SCH128,Dhading,Rural,3.0,N,N,Y
SCH129,Kathmandu,Urban,4.0,Y,Y,Y
SCH130,Kathmandu,Rural,2.0,N,N,N
SCH131,Dhading,Rural,3.0,N,N,Y
SCH132,Nuwakot,Urban,4.0,Y,Y,Y
SCH133,Lalitpur,Urban,4.0,Y,Y,Y
SCH134,Lalitpur,Rural,4.0,Y,N,Y
SCH135,Kathmandu,Rural,2.0,Y,N,nan
SCH136,Lalitpur,Rural,3.0,N,N,N
SCH137,Lalitpur,Rural,2.0,N,N,N
SCH138,Kathmandu,Rural,2.0,Y,Y,N
SCH139,Kathmandu,Rural,3.0,Y,N,Y
SCH140,Kathmandu,Rural,3.0,N,Y,Y
SCH141,Kathmandu,Rural,3.0,N,N,N
SCH142,Kathmandu,Urban,3.0,N,Y,Y
SCH143,Kathmandu,Rural,2.0,N,N,N
SCH144,Kathmandu,Rural,2.0,Y,Y,N
SCH145,Kathmandu,Urban,4.0,Y,Y,Y
SCH146,Nuwakot,Urban,2.0,Y,N,Y
SCH147,Lalitpur,Rural,4.0,Y,N,nan
SCH148,Bhaktapur,Rural,1.0,Y,Y,N
SCH149,Dhading,Urban,5.0,N,Y,Y
SCH150,Lalitpur,Urban,3.0,Y,Y,Y
SCH151,Kathmandu,Rural,2.0,N,N,N
SCH152,Lalitpur,Urban,5.0,Y,Y,N
SCH153,Lalitpur,Urban,2.0,Y,N,nan
SCH154,Dhading,Rural,2.0,Y,N,N
SCH155,Lalitpur,Rural,2.0,Y,N,Y
SCH156,Kathmandu,Urban,3.0,Y,Y,N
SCH157,Kathmandu,Rural,2.0,Y,Y,N
SCH158,Kathmandu,Rural,3.0,N,N,Y
SCH159,Bhaktapur,Urban,4.0,Y,N,Y
SCH160,Lalitpur,Rural,3.0,Y,Y,N
SCH161,Kathmandu,Rural,3.0,Y,N,N
SCH162,Sindhupalchok,Rural,3.0,Y,N,N
SCH163,Bhaktapur,Rural,2.0,Y,Y,N
SCH164,Kathmandu,Rural,1.0,N,Y,N
SCH165,Kathmandu,Urban,5.0,Y,Y,Y
SCH166,Kathmandu,Rural,2.0,N,N,Y
SCH167,Kathmandu,Rural,2.0,N,N,N
SCH168,Kathmandu,Urban,3.0,Y,Y,N
SCH169,Kathmandu,Urban,3.0,Y,N,N
SCH170,Kathmandu,Rural,2.0,N,N,N
SCH171,Kathmandu,Rural,2.0,N,N,Y
SCH172,Nuwakot,Urban,4.0,Y,Y,Y
SCH173,Kathmandu,Rural,2.0,Y,Y,Y
SCH174,Lalitpur,Urban,5.0,Y,Y,Y
SCH175,Lalitpur,Rural,3.0,Y,N,N
SCH176,Sindhupalchok,Urban,4.0,Y,Y,Y
SCH177,Kathmandu,Rural,3.0,Y,Y,Y
SCH178,Kathmandu,Rural,2.0,N,N,N
SCH179,Sindhupalchok,Rural,3.0,N,Y,N
SCH180,Nuwakot,Urban,4.0,Y,Y,Y
SCH181,Nuwakot,Rural,2.0,N,N,nan
SCH182,Kathmandu,Urban,5.0,Y,Y,Y
SCH183,Kathmandu,Rural,2.0,N,N,nan
SCH184,Bhaktapur,Rural,2.0,Y,N,N
SCH185,Rasuwa,Urban,3.0,Y,Y,N
SCH186,Lalitpur,Rural,3.0,Y,N,N
SCH187,Lalitpur,Rural,3.0,N,Y,N
SCH188,Kathmandu,Rural,2.0,N,N,N
SCH189,Dhading,Rural,1.0,Y,Y,Y
SCH190,Kathmandu,Urban,2.0,Y,N,Y
SCH191,Kathmandu,Urban,4.0,Y,N,Y
SCH192,Lalitpur,Rural,2.0,Y,N,Y
SCH193,Lalitpur,Rural,2.0,N,Y,Y
SCH194,Kathmandu,Rural,2.0,N,N,Y
SCH195,Kathmandu,Rural,2.0,Y,N,nan
SCH196,Bhaktapur,Rural,3.0,Y,N,Y
SCH197,Kathmandu,Rural,2.0,N,Y,N
SCH198,Lalitpur,Rural,2.0,N,Y,N
SCH199,Kathmandu,Rural,2.0,Y,N,N
SCH200,Lalitpur,Rural,2.0,N,N,Y
SCH201,Lalitpur,Rural,3.0,Y,Y,N
SCH202,Kathmandu,Urban,4.0,Y,Y,Y
SCH203,Kathmandu,Urban,3.0,Y,Y,N
SCH204,Kathmandu,Rural,2.0,N,N,N
SCH205,Kathmandu,Rural,2.0,Y,Y,nan
SCH206,Sindhupalchok,Urban,3.0,Y,Y,Y
SCH207,Kathmandu,Urban,5.0,Y,N,Y
SCH208,Nuwakot,Rural,1.0,Y,Y,N
SCH209,Kathmandu,Urban,3.0,Y,Y,N
SCH210,Bhaktapur,Urban,4.0,Y,Y,Y
SCH211,Dhading,Rural,2.0,Y,N,Y
SCH212,Lalitpur,Rural,4.0,Y,N,Y
SCH213,Lalitpur,Rural,2.0,Y,N,N
SCH214,Lalitpur,Urban,3.0,Y,Y,Y
SCH215,Kathmandu,Rural,3.0,N,N,Y
SCH216,Rasuwa,Urban,3.0,Y,N,Y
SCH217,Nuwakot,Rural,4.0,Y,N,N
SCH218,Sindhupalchok,Rural,3.0,N,Y,Y
SCH219,Kathmandu,Rural,3.0,Y,Y,N
SCH220,Dhading,Rural,3.0,N,Y,Y
SCH221,Rasuwa,Rural,3.0,N,N,N
SCH222,Kathmandu,Rural,2.0,Y,N,N
SCH223,Kathmandu,Urban,4.0,Y,N,Y
SCH224,Dhading,Rural,2.0,Y,Y,N
SCH225,Lalitpur,Urban,4.0,Y,Y,Y
SCH226,Nuwakot,Urban,4.0,Y,Y,Y
SCH227,Kathmandu,Rural,3.0,Y,N,N
SCH228,Dhading,Rural,3.0,Y,Y,N
SCH229,Kathmandu,Rural,2.0,N,N,Y
SCH230,Kathmandu,Rural,3.0,Y,Y,Y
SCH231,Kathmandu,Rural,1.0,N,N,Y
SCH232,Nuwakot,Rural,2.0,Y,N,Y
SCH233,Bhaktapur,Rural,2.0,Y,Y,N
SCH234,Lalitpur,Rural,1.0,N,Y,N
SCH235,Kathmandu,Urban,5.0,Y,Y,N
SCH236,Nuwakot,Rural,2.0,Y,Y,N
SCH237,Kathmandu,Urban,3.0,Y,Y,N
SCH238,Nuwakot,Urban,3.0,Y,Y,Y
SCH239,Lalitpur,Rural,1.0,Y,N,N
SCH240,Kathmandu,Urban,4.0,Y,Y,Y
SCH241,Lalitpur,Rural,3.0,N,N,Y
SCH242,Kathmandu,Rural,3.0,N,Y,Y
SCH243,Dhading,Rural,2.0,N,N,N
SCH244,Lalitpur,Rural,2.0,N,N,Y
SCH245,Kathmandu,Urban,5.0,Y,Y,Y
SCH246,Nuwakot,Rural,3.0,Y,Y,N
SCH247,Kathmandu,Rural,4.0,N,Y,N
SCH248,Lalitpur,Rural,3.0,Y,N,N
SCH249,Rasuwa,Rural,2.0,Y,Y,Y
SCH250,Bhaktapur,Rural,1.0,Y,N,Y
SCH251,Kathmandu,Urban,3.0,Y,Y,Y
SCH252,Rasuwa,Rural,1.0,N,N,nan
SCH253,Bhaktapur,Rural,2.0,Y,N,N
SCH254,Kathmandu,Rural,2.0,Y,N,N
SCH255,Kathmandu,Urban,3.0,Y,Y,Y
SCH256,Dhading,Rural,1.0,N,Y,N
SCH257,Bhaktapur,Rural,3.0,Y,N,Y
SCH258,Lalitpur,Rural,2.0,Y,N,N
SCH259,Nuwakot,Rural,1.0,N,N,N
SCH260,Dhading,Urban,4.0,Y,Y,N
SCH261,Kathmandu,Rural,2.0,Y,N,N
SCH262,Kathmandu,Rural,3.0,Y,N,N
SCH263,Kathmandu,Urban,4.0,Y,Y,Y
SCH264,Dhading,Rural,2.0,Y,Y,N
SCH265,Kathmandu,Rural,2.0,Y,N,Y
SCH266,Lalitpur,Rural,3.0,Y,N,N
SCH267,Dhading,Rural,2.0,Y,N,Y
SCH268,Nuwakot,Rural,2.0,Y,N,Y
SCH269,Kathmandu,Rural,3.0,N,N,N
SCH270,Nuwakot,Urban,5.0,N,Y,Y
SCH271,Kathmandu,Rural,2.0,N,N,N
SCH272,Nuwakot,Rural,2.0,Y,Y,Y
SCH273,Kathmandu,Rural,2.0,Y,N,N
SCH274,Kathmandu,Rural,2.0,N,N,Y
SCH275,Dhading,Rural,2.0,Y,Y,N
SCH276,Kathmandu,Rural,2.0,Y,Y,N
SCH277,Kathmandu,Rural,3.0,Y,N,N
SCH278,Dhading,Rural,2.0,N,Y,Y
SCH279,Dhading,Rural,3.0,N,N,N
SCH280,Bhaktapur,Rural,2.0,Y,Y,Y
SCH281,Bhaktapur,Rural,2.0,Y,Y,N
SCH282,Lalitpur,Rural,2.0,N,N,Y
SCH283,Kathmandu,Rural,1.0,Y,N,N
SCH284,Kathmandu,Urban,2.0,N,N,N
SCH285,Kathmandu,Rural,3.0,N,N,N
SCH286,Rasuwa,Urban,3.0,N,Y,Y
SCH287,Lalitpur,Rural,2.0,Y,N,N
SCH288,Lalitpur,Rural,3.0,Y,N,Y
SCH289,Lalitpur,Urban,3.0,Y,N,N
SCH290,Rasuwa,Rural,2.0,N,N,N
SCH291,Kathmandu,Urban,3.0,N,Y,Y
SCH292,Lalitpur,Urban,4.0,Y,Y,Y
SCH293,Lalitpur,Rural,2.0,Y,N,N
SCH294,Bhaktapur,Rural,1.0,N,Y,N
SCH295,Kathmandu,Urban,4.0,Y,Y,N
SCH296,Nuwakot,Rural,2.0,N,Y,Y
SCH297,Rasuwa,Rural,1.0,Y,N,N
SCH298,Lalitpur,Urban,3.0,Y,N,N
SCH299,Bhaktapur,Rural,2.0,N,Y,Y
SCH300,Rasuwa,Urban,4.0,Y,Y,nan
SCH301,Dhading,Urban,3.0,Y,Y,Y
SCH302,Kathmandu,Rural,3.0,Y,N,Y
SCH303,Lalitpur,Rural,1.0,Y,N,N
SCH304,Bhaktapur,Rural,2.0,Y,Y,Y
SCH305,Lalitpur,Rural,3.0,Y,N,Y
SCH306,Dhading,Rural,3.0,N,N,Y
SCH307,Rasuwa,Rural,2.0,Y,N,N
SCH308,Rasuwa,Rural,2.0,N,N,Y
SCH309,Lalitpur,Rural,2.0,Y,N,Y
SCH310,Kathmandu,Urban,3.0,Y,Y,Y
SCH311,Sindhupalchok,Rural,1.0,N,Y,N
SCH312,Nuwakot,Urban,3.0,Y,Y,Y
SCH313,Kathmandu,Urban,4.0,Y,Y,Y
SCH314,Rasuwa,Rural,3.0,Y,Y,Y
SCH315,Nuwakot,Rural,1.0,Y,N,N
SCH316,Lalitpur,Rural,1.0,N,N,N
SCH317,Lalitpur,Rural,3.0,N,N,N
SCH318,Kathmandu,Urban,2.0,Y,Y,Y
SCH319,Kathmandu,Urban,4.0,Y,Y,N
SCH320,Kathmandu,Urban,4.0,Y,Y,N
SCH321,Nuwakot,Rural,2.0,N,N,Y
SCH322,Kathmandu,Rural,3.0,Y,Y,Y
SCH323,Kathmandu,Rural,2.0,Y,N,N
SCH324,Kathmandu,Urban,3.0,Y,N,Y
SCH325,Lalitpur,Rural,2.0,N,N,nan
SCH326,Rasuwa,Rural,2.0,Y,N,N
SCH327,Kathmandu,Rural,2.0,N,Y,N
SCH328,Kathmandu,Rural,3.0,Y,Y,N
SCH329,Dhading,Rural,2.0,Y,N,Y
SCH330,Lalitpur,Urban,5.0,Y,Y,Y
SCH331,Kathmandu,Rural,2.0,N,N,N
SCH332,Lalitpur,Rural,1.0,Y,N,N
SCH333,Kathmandu,Urban,4.0,Y,Y,Y
SCH334,Kathmandu,Urban,4.0,Y,Y,N
SCH335,Lalitpur,Urban,4.0,Y,Y,N
SCH336,Lalitpur,Urban,4.0,Y,Y,N
SCH337,Rasuwa,Rural,2.0,Y,N,Y
SCH338,Kathmandu,Rural,2.0,Y,N,N
SCH339,Lalitpur,Rural,2.0,N,N,N
SCH340,Bhaktapur,Urban,4.0,N,Y,Y
SCH341,Kathmandu,Rural,2.0,N,N,N
SCH342,Bhaktapur,Rural,1.0,Y,N,Y
SCH343,Kathmandu,Urban,4.0,Y,Y,Y
SCH344,Sindhupalchok,Rural,2.0,N,Y,N
SCH345,Kathmandu,Rural,4.0,N,Y,N
SCH346,Lalitpur,Rural,3.0,N,Y,N
SCH347,Kathmandu,Rural,2.0,N,N,Y
SCH348,Sindhupalchok,Urban,3.0,Y,Y,N
SCH349,Lalitpur,Rural,2.0,Y,N,nan
SCH350,Lalitpur,Rural,3.0,N,Y,Y
SCH351,Kathmandu,Rural,3.0,N,N,N
SCH352,Dhading,Rural,2.0,N,N,Y
SCH353,Kathmandu,Rural,2.0,Y,N,N
SCH354,Nuwakot,Urban,4.0,Y,Y,N
SCH355,Kathmandu,Urban,3.0,Y,Y,N
SCH356,Kathmandu,Rural,2.0,N,Y,Y
SCH357,Kathmandu,Urban,4.0,Y,Y,N
SCH358,Lalitpur,Rural,2.0,Y,N,N
SCH359,Lalitpur,Rural,4.0,Y,N,N
SCH360,Kathmandu,Rural,1.0,Y,N,N
SCH361,Dhading,Rural,2.0,N,Y,N
SCH362,Lalitpur,Rural,3.0,N,N,N
SCH363,Lalitpur,Rural,2.0,N,N,N
SCH364,Lalitpur,Rural,3.0,Y,N,Y
SCH365,Lalitpur,Rural,1.0,N,Y,Y
SCH366,Lalitpur,Rural,2.0,Y,Y,Y
SCH367,Kathmandu,Rural,2.0,N,N,N
SCH368,Kathmandu,Rural,3.0,Y,N,N
SCH369,Nuwakot,Urban,5.0,Y,Y,Y
SCH370,Rasuwa,Urban,3.0,Y,Y,Y
SCH371,Kathmandu,Urban,3.0,Y,Y,N
SCH372,Kathmandu,Urban,2.0,Y,Y,Y
SCH373,Bhaktapur,Urban,3.0,Y,Y,Y
SCH374,Lalitpur,Rural,2.0,Y,N,Y
SCH375,Kathmandu,Urban,5.0,Y,Y,Y
SCH376,Kathmandu,Rural,2.0,Y,Y,Y
SCH377,Dhading,Rural,2.0,Y,N,Y
SCH378,Bhaktapur,Urban,5.0,Y,Y,N
SCH379,Kathmandu,Rural,1.0,Y,N,Y
SCH380,Kathmandu,Urban,3.0,Y,Y,N
SCH381,Kathmandu,Urban,2.0,Y,N,Y
SCH382,Bhaktapur,Rural,2.0,Y,Y,Y
SCH383,Kathmandu,Rural,1.0,N,N,Y
SCH384,Kathmandu,Rural,2.0,Y,Y,N
SCH385,Dhading,Rural,3.0,N,Y,N
SCH386,Kathmandu,Rural,2.0,Y,N,N
SCH387,Bhaktapur,Urban,5.0,Y,Y,N
SCH388,Kathmandu,Urban,4.0,Y,Y,Y
SCH389,Kathmandu,Rural,3.0,Y,N,N
SCH390,Kathmandu,Rural,3.0,Y,N,N
SCH391,Dhading,Rural,2.0,N,N,N
SCH392,Nuwakot,Rural,2.0,N,N,Y
SCH393,Nuwakot,Rural,2.0,N,N,N
SCH394,Kathmandu,Rural,2.0,N,N,N
SCH395,Bhaktapur,Rural,3.0,Y,N,Y
SCH396,Kathmandu,Rural,2.0,Y,N,N
SCH397,Kathmandu,Rural,3.0,Y,N,Y
SCH398,Nuwakot,Rural,3.0,Y,N,N
SCH399,Kathmandu,Rural,3.0,Y,Y,N
SCH400,Kathmandu,Rural,2.0,Y,N,N
SCH401,Kathmandu,Urban,4.0,Y,N,Y
SCH402,Kathmandu,Rural,2.0,Y,N,Y
SCH403,Kathmandu,Rural,2.0,N,N,N
SCH404,Lalitpur,Rural,2.0,N,N,Y
SCH405,Lalitpur,Rural,1.0,Y,N,Y
SCH406,Nuwakot,Rural,3.0,N,N,N
SCH407,Nuwakot,Rural,2.0,N,N,N
SCH408,Kathmandu,Urban,3.0,Y,Y,Y
SCH409,Kathmandu,Rural,2.0,Y,N,Y
SCH410,Kathmandu,Urban,3.0,Y,Y,N
SCH411,Lalitpur,Rural,3.0,N,Y,N
SCH412,Kathmandu,Rural,2.0,N,Y,Y
SCH413,Bhaktapur,Rural,3.0,Y,N,Y
SCH414,Lalitpur,Rural,1.0,Y,N,Y
SCH415,Lalitpur,Rural,2.0,Y,N,Y
SCH416,Lalitpur,Rural,4.0,Y,Y,nan
SCH417,Kathmandu,Urban,3.0,Y,Y,Y
SCH418,Rasuwa,Rural,2.0,N,N,N
SCH419,Dhading,Rural,3.0,N,Y,nan
SCH420,Kathmandu,Rural,2.0,N,N,Y
SCH421,Nuwakot,Rural,2.0,N,N,N
SCH422,Lalitpur,Rural,3.0,N,N,N
SCH423,Nuwakot,Urban,4.0,Y,Y,N
SCH424,Dhading,Rural,3.0,N,Y,Y
SCH425,Lalitpur,Urban,4.0,Y,Y,Y
SCH426,Kathmandu,Rural,2.0,N,N,Y
SCH427,Kathmandu,Rural,3.0,Y,N,Y
SCH428,Lalitpur,Rural,4.0,N,Y,N
SCH429,Bhaktapur,Rural,2.0,Y,N,Y
SCH430,Kathmandu,Urban,5.0,Y,Y,Y
SCH431,Kathmandu,Urban,3.0,Y,Y,Y
SCH432,Nuwakot,Rural,2.0,Y,N,N
SCH433,Sindhupalchok,Rural,1.0,N,N,Y
SCH434,Lalitpur,Urban,4.0,Y,Y,N
SCH435,Kathmandu,Urban,3.0,Y,Y,Y
SCH436,Kathmandu,Rural,2.0,Y,N,N
SCH437,Kathmandu,Urban,3.0,Y,N,Y
SCH438,Rasuwa,Rural,2.0,Y,N,Y
SCH439,Kathmandu,Rural,3.0,Y,N,Y
SCH440,Lalitpur,Urban,5.0,Y,N,Y
SCH441,Kathmandu,Urban,3.0,Y,Y,N
SCH442,Lalitpur,Rural,2.0,Y,N,N
SCH443,Bhaktapur,Rural,3.0,Y,N,Y
SCH444,Nuwakot,Rural,3.0,Y,Y,N
SCH445,Kathmandu,Rural,2.0,Y,N,N
SCH446,Kathmandu,Rural,3.0,N,N,N
SCH447,Kathmandu,Rural,2.0,Y,N,N
SCH448,Rasuwa,Rural,3.0,Y,N,N
SCH449,Nuwakot,Rural,2.0,Y,Y,N
SCH450,Lalitpur,Urban,5.0,Y,Y,Y
SCH451,Bhaktapur,Rural,2.0,Y,Y,N
SCH452,Bhaktapur,Rural,2.0,N,N,N
SCH453,Kathmandu,Rural,2.0,N,N,Y
SCH454,Rasuwa,Rural,2.0,Y,N,Y
SCH455,Lalitpur,Urban,3.0,Y,N,N
SCH456,Kathmandu,Rural,1.0,Y,N,N
SCH457,Lalitpur,Urban,5.0,Y,Y,Y
SCH458,Kathmandu,Rural,1.0,N,N,N
SCH459,Kathmandu,Urban,4.0,Y,Y,Y
SCH460,Dhading,Urban,5.0,Y,Y,Y
SCH461,Kathmandu,Urban,3.0,Y,Y,Y
SCH462,Bhaktapur,Rural,2.0,Y,Y,N
SCH463,Kathmandu,Rural,2.0,N,N,N
SCH464,Kathmandu,Rural,3.0,N,N,N
SCH465,Kathmandu,Rural,2.0,Y,N,Y
SCH466,Kathmandu,Rural,2.0,Y,Y,nan
SCH467,Dhading,Urban,4.0,Y,Y,Y
SCH468,Kathmandu,Rural,3.0,Y,N,Y
SCH469,Lalitpur,Urban,4.0,N,Y,N
SCH470,Lalitpur,Rural,3.0,Y,N,N
SCH471,Bhaktapur,Urban,4.0,Y,Y,Y
SCH472,Rasuwa,Rural,3.0,Y,N,N
SCH473,Dhading,Urban,2.0,Y,Y,Y
SCH474,Kathmandu,Rural,1.0,N,N,N
SCH475,Kathmandu,Rural,3.0,Y,Y,Y
SCH476,Kathmandu,Rural,3.0,Y,N,N
SCH477,Lalitpur,Urban,5.0,Y,Y,N
SCH478,Kathmandu,Rural,3.0,Y,N,Y
SCH479,Lalitpur,Rural,3.0,N,N,nan
SCH480,Lalitpur,Rural,3.0,Y,N,N
SCH481,Kathmandu,Rural,3.0,Y,N,Y
SCH482,Dhading,Rural,3.0,Y,Y,N
SCH483,Kathmandu,Rural,2.0,N,N,N
SCH484,Kathmandu,Rural,1.0,N,N,Y
SCH485,Dhading,Rural,2.0,Y,N,Y
SCH486,Lalitpur,Rural,2.0,Y,N,Y
SCH487,Bhaktapur,Urban,3.0,Y,Y,Y
SCH488,Lalitpur,Urban,3.0,Y,Y,N
SCH489,Kathmandu,Rural,2.0,N,N,N
SCH490,Nuwakot,Rural,3.0,N,N,Y
SCH491,Dhading,Rural,2.0,N,N,Y
SCH492,Bhaktapur,Rural,3.0,Y,N,Y
SCH493,Kathmandu,Urban,3.0,Y,Y,Y
SCH494,Lalitpur,Urban,3.0,Y,N,Y
SCH495,Kathmandu,Rural,2.0,Y,Y,nan
SCH496,Kathmandu,Rural,1.0,Y,N,N
SCH497,Rasuwa,Rural,2.0,N,Y,Y
SCH498,Kathmandu,Urban,4.0,Y,N,Y
SCH499,Sindhupalchok,Rural,2.0,Y,N,N
SCH500,Lalitpur,Rural,2.0,Y,N,N
